cccd,check_cccd_data,doanh_nghiep_data,bhxh_data
402480181667,{},{},{}
864758963092,{},{},{}
380994768842,{},{},{}
089057602886,{},{},{}
403273843816,{},{},{}
562629670942,{},{},{}
679754977552,{},{},{}
725691959050,{},{},{}
776897049207,{},{},{}
385106990751,{},{},{}
210721502186,{},{},{}
202388093121,{},{},{}
960779687331,{},{},{}
001953979254,{},{},{}
617894609250,{},{},{}
600694507682,{},{},{}
044314488009,{},{},{}
780483639607,{},{},{}
257749211612,{},{},{}
714070365543,{},{},{}
449242839588,{},{},{}
959310508902,{},{},{}
727295993614,{},{},{}
181463333212,{},{},{}
649113885721,{},{},{}
545225445804,{},{},{}
916969189157,{},{},{}
475047724733,{},{},{}
399678097231,{},{},{}
376380403030,{},{},{}
587552641378,{},{},{}
263671750851,{},{},{}
402112454212,{},{},{}
428597194097,{},{},{}
670870220128,{},{},{}
014205124267,{},{},{}
206007847427,{},{},{}
992694727535,{},{},{}
185568078067,{},{},{}
823109692086,{},{},{}
117348510046,{},{},{}
297531710963,{},{},{}
188193674159,{},{},{}
313192206757,{},{},{}
465545033077,{},{},{}
104218947757,{},{},{}
789786868316,{},{},{}
540006214059,{},{},{}
911854984895,{},{},{}
267158465404,{},{},{}
612194201237,{},{},{}
287728182040,{},{},{}
418069891985,{},{},{}
051290517904,{},{},{}
449925134424,{},{},{}
055265280831,{},{},{}
843875951927,{},{},{}
350657204610,{},{},{}
958620493016,{},{},{}
557418875267,{},{},{}
086850728907,{},{},{}
082395746369,{},{},{}
299738017512,{},{},{}
112326020253,{},{},{}
330604338572,{},{},{}
717966272265,{},{},{}
979616870103,{},{},{}
881168675041,{},{},{}
822724118778,{},{},{}
533143843066,{},{},{}
545063138315,{},{},{}
616212217161,{},{},{}
517315570690,{},{},{}
584222722930,{},{},{}
428922660621,{},{},{}
407442674166,{},{},{}
279036964656,{},{},{}
197306606403,{},{},{}
546082148591,{},{},{}
972877706267,{},{},{}
578261121146,{},{},{}
208585416737,{},{},{}
116699010714,{},{},{}
913687063029,{},{},{}
475791442015,{},{},{}
038789147802,{},{},{}
032491919508,{},{},{}
847219502157,{},{},{}
355770770182,{},{},{}
521856699952,{},{},{}
795455550850,{},{},{}
317723865464,{},{},{}
265203557854,{},{},{}
810796334888,{},{},{}
396135923673,{},{},{}
490529781900,{},{},{}
221388475659,{},{},{}
248628548522,{},{},{}
486404839245,{},{},{}
435854400798,{},{},{}
953721625163,{},{},{}
740435747634,{},{},{}
161169161760,{},{},{}
632112683898,{},{},{}
959054258576,{},{},{}
448597601356,{},{},{}
684144834263,{},{},{}
833753745031,{},{},{}
859225559616,{},{},{}
206980192400,{},{},{}
118213057565,{},{},{}
621534604347,{},{},{}
889744969561,{},{},{}
748043029924,{},{},{}
526656771422,{},{},{}
937494518864,{},{},{}
816716134976,{},{},{}
124729736190,{},{},{}
307121333295,{},{},{}
890650460125,{},{},{}
027898072797,{},{},{}
614651577366,{},{},{}
249603040058,{},{},{}
632847670925,{},{},{}
223647245054,{},{},{}
189514392569,{},{},{}
638485103961,{},{},{}
922196476940,{},{},{}
575613720881,{},{},{}
266046956484,{},{},{}
575283859890,{},{},{}
211914547871,{},{},{}
561051628286,{},{},{}
482828151320,{},{},{}
981853376688,{},{},{}
175732078926,{},{},{}
374363081916,{},{},{}
567185485439,{},{},{}
662252788061,{},{},{}
027854812524,{},{},{}
293379679046,{},{},{}
817774870036,{},{},{}
437458120458,{},{},{}
931174709119,{},{},{}
429094187683,{},{},{}
901744621531,{},{},{}
466149694275,{},{},{}
965593524543,{},{},{}
447824308764,{},{},{}
761325812169,{},{},{}
