cccd_number,province_code,province_name,gender,birth_year,birth_month,birth_day,birth_date,century,gender_century_code,sequence_number,checksum_digit,valid
022175061594,022,Quảng Ninh,Nữ,1975,6,15,15/06/1975,20,1,9,4,True
022168072574,022,Quảng Ninh,Nữ,1968,7,25,25/07/1968,20,1,7,4,True
022170111681,022,Quảng Ninh,Nữ,1970,11,16,16/11/1970,20,1,8,1,True
022171121560,022,Quảng Ninh,Nữ,1971,12,15,15/12/1971,20,1,6,0,True
022168060834,022,Quảng Ninh,Nữ,1968,6,8,08/06/1968,20,1,3,4,True
022167040532,022,Quảng Ninh,Nữ,1967,4,5,05/04/1967,20,1,3,2,True
022174101415,022,Quảng Ninh,Nữ,1974,10,14,14/10/1974,20,1,1,5,True
022167020857,022,Quảng Ninh,Nữ,1967,2,8,08/02/1967,20,1,5,7,True
022172070388,022,Quảng Ninh,Nữ,1972,7,3,03/07/1972,20,1,8,8,True
022174101275,022,Quảng Ninh,Nữ,1974,10,12,12/10/1974,20,1,7,5,True
022169100388,022,Quảng Ninh,Nữ,1969,10,3,03/10/1969,20,1,8,8,True
022170082477,022,Quảng Ninh,Nữ,1970,8,24,24/08/1970,20,1,7,7,True
022174052739,022,Quảng Ninh,Nữ,1974,5,27,27/05/1974,20,1,3,9,True
022167012159,022,Quảng Ninh,Nữ,1967,1,21,21/01/1967,20,1,5,9,True
022170102896,022,Quảng Ninh,Nữ,1970,10,28,28/10/1970,20,1,9,6,True
022173020821,022,Quảng Ninh,Nữ,1973,2,8,08/02/1973,20,1,2,1,True
022168101946,022,Quảng Ninh,Nữ,1968,10,19,19/10/1968,20,1,4,6,True
022165021551,022,Quảng Ninh,Nữ,1965,2,15,15/02/1965,20,1,5,1,True
022168012660,022,Quảng Ninh,Nữ,1968,1,26,26/01/1968,20,1,6,0,True
022174060738,022,Quảng Ninh,Nữ,1974,6,7,07/06/1974,20,1,3,8,True
022174060145,022,Quảng Ninh,Nữ,1974,6,1,01/06/1974,20,1,4,5,True
022170072692,022,Quảng Ninh,Nữ,1970,7,26,26/07/1970,20,1,9,2,True
022165112482,022,Quảng Ninh,Nữ,1965,11,24,24/11/1965,20,1,8,2,True
022170071763,022,Quảng Ninh,Nữ,1970,7,17,17/07/1970,20,1,6,3,True
022169102748,022,Quảng Ninh,Nữ,1969,10,27,27/10/1969,20,1,4,8,True
022165101626,022,Quảng Ninh,Nữ,1965,10,16,16/10/1965,20,1,2,6,True
